"IDENTIFICACION","SEXO","SALARIO","TIPO_ASEGURAMIENTO","SECTOR","INDICADOR_ACTIVO","INDICADOR.EXTRANJERO","INDICADOR_MOROSO","EDAD"
36,"HOMBRE","","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",62
37,"HOMBRE","1552307,5","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",41
38,"HOMBRE","1531575","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","NO",66
39,"HOMBRE","3220569,09","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",48
40,"HOMBRE","658917","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",56
41,"HOMBRE","631707,6","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
42,"MUJER","977376","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
43,"MUJER","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","SI","NO",23
44,"HOMBRE","633750","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
45,"MUJER","376776","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
46,"MUJER","1878386,22","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
47,"MUJER","2224883","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",49
48,"MUJER","349000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
49,"HOMBRE","675069,69","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",39
50,"HOMBRE","443282","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",
51,"HOMBRE","297044,99","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",66
52,"HOMBRE","1505458,92","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",
53,"MUJER","743436","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
54,"HOMBRE","379422","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",43
55,"HOMBRE","300000","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",44
56,"MUJER","159787,22","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",44
57,"MUJER","267741,04","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
58,"MUJER","376777","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
59,"HOMBRE","386161","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",45
60,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",22
61,"HOMBRE","1594012,66","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
62,"HOMBRE","1401725,03","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",85
63,"HOMBRE","366358,49","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",51
64,"MUJER","411794","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",53
65,"HOMBRE","340510,83","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",40
66,"HOMBRE","3217736","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
67,"HOMBRE","133603,53","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",72
68,"HOMBRE","140435,81","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",74
69,"HOMBRE","1866932,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",57
70,"HOMBRE","299647","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",
71,"MUJER","544163,5","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",24
72,"MUJER","2128928","","SECTOR PUBLICO","SI","NO","SI",42
73,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",57
74,"MUJER","508972,8","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",46
75,"HOMBRE","476424,06","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",24
76,"MUJER","278035","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",27
77,"HOMBRE","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","NO","NO","SI",29
78,"MUJER","643859,2","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",35
79,"HOMBRE","364678,16","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
80,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",50
81,"MUJER","909000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",27
82,"MUJER","1769610,96","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",56
83,"HOMBRE","415861","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",34
84,"MUJER","1404047","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",53
85,"MUJER","457842,57","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",50
86,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",36
87,"HOMBRE","347356,26","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
88,"MUJER","432031","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",31
89,"HOMBRE","419292","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","NO",36
90,"MUJER","622035,82","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",30
91,"HOMBRE","483142,5","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
92,"HOMBRE","609320,7","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",39
93,"HOMBRE","982902,8","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",49
94,"MUJER","800002","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
95,"HOMBRE","938875","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
96,"MUJER","412625,63","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",26
97,"HOMBRE","234334","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",21
98,"MUJER","675720","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",36
99,"MUJER","283745,98","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
100,"MUJER","3729038,4","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",50
101,"MUJER","300000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
102,"MUJER","377900","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",57
103,"HOMBRE","300018","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",63
104,"MUJER","306643,32","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
105,"HOMBRE","462759","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
106,"MUJER","1411236","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",30
107,"HOMBRE","310124","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",51
108,"HOMBRE","505145","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",30
109,"HOMBRE","386161","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",44
110,"MUJER","297973,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",43
111,"MUJER","338049,9","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
112,"MUJER","298155","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",47
113,"MUJER","278030,99","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",30
114,"MUJER","382026,4","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",44
115,"MUJER","239485,57","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",21
116,"HOMBRE","672873,47","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",32
117,"MUJER","995442","ASALARIADO","SECTOR PRIVADO","SI","SI","SI",52
118,"HOMBRE","659864,58","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
119,"HOMBRE","681758,7","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
120,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","SI",37
121,"MUJER","149929,63","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",28
122,"MUJER","297514","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",45
123,"MUJER","297062","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",40
124,"HOMBRE","1179097","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",41
125,"HOMBRE","300018","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",82
126,"MUJER","366996,25","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",44
127,"MUJER","976712,18","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
128,"MUJER","212500","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",45
129,"HOMBRE","300018","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",58
130,"HOMBRE","489327","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",33
131,"MUJER","299647","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",50
132,"HOMBRE","1093666,56","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",55
133,"HOMBRE","677626,04","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",57
134,"HOMBRE","462063,22","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",54
135,"HOMBRE","966790,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",43
136,"HOMBRE","318242,84","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",59
137,"HOMBRE","1411134,97","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
138,"MUJER","402904","CONVENIOS ESPECIALES DE ASEGURADOS VOLUNTARIOS","SECTOR PRIVADO","SI","SI","NO",24
139,"HOMBRE","356903,88","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
140,"HOMBRE","278035","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",41
141,"MUJER","297046","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",65
142,"MUJER","400000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",46
143,"MUJER","497114,36","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",28
144,"HOMBRE","270074","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",60
145,"HOMBRE","680668,64","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
146,"MUJER","148500","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",50
147,"MUJER","372323","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",29
148,"MUJER","1069289,8","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",86
149,"MUJER","258000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
150,"MUJER","304345","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",50
151,"MUJER","299647","","SECTOR PRIVADO","SI","NO","NO",40
152,"HOMBRE","253472","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",21
153,"HOMBRE","851079","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",58
154,"MUJER","353911,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",41
155,"MUJER","513465","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",49
156,"HOMBRE","300018","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",57
157,"HOMBRE","659491,08","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
158,"HOMBRE","356000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",56
159,"HOMBRE","315941","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",52
160,"HOMBRE","427506,38","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",28
161,"HOMBRE","299441","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",54
162,"HOMBRE","360458","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",30
163,"HOMBRE","297050","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",46
164,"HOMBRE","338659,6","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",33
165,"HOMBRE","4605901,54","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",68
166,"HOMBRE","299647","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",68
167,"MUJER","111053","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",54
168,"HOMBRE","371304","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",46
169,"MUJER","672365,54","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
170,"HOMBRE","475269","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",63
171,"HOMBRE","360420","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",33
172,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",48
173,"HOMBRE","472546,14","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
174,"HOMBRE","11102,62","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",23
175,"MUJER","444259,2","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
176,"HOMBRE","793801,12","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",36
177,"MUJER","504963,25","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",44
178,"HOMBRE","345802,5","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",52
179,"HOMBRE","413497","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",54
180,"HOMBRE","683560","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",61
181,"HOMBRE","375000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",27
182,"MUJER","1244526","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",26
183,"MUJER","1379419","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",70
184,"MUJER","987935","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",36
185,"HOMBRE","373465,3","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",39
186,"HOMBRE","165495","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",59
187,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",64
188,"MUJER","2050000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",46
189,"MUJER","297045","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",38
190,"MUJER","297045","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","NO","NO","SI",42
191,"MUJER","405063","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",69
192,"MUJER","496208,33","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",45
193,"HOMBRE","2033150,05","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",46
194,"MUJER","155250","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
195,"MUJER","278030","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",56
196,"MUJER","846788","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",31
197,"HOMBRE","300018","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",32
198,"MUJER","1476004","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",68
199,"HOMBRE","174167","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",32
200,"HOMBRE","622035,84","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",27
201,"HOMBRE","563607","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",72
202,"MUJER","386190,46","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
203,"HOMBRE","378684","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",38
204,"HOMBRE","1623057,2","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
205,"MUJER","126835,08","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",67
206,"HOMBRE","404467","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",64
207,"HOMBRE","586511,31","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",24
208,"HOMBRE","808295,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",42
209,"MUJER","819816,67","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",32
210,"HOMBRE","57724","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",19
211,"MUJER","2230223,4","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",56
212,"HOMBRE","681656,18","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",42
213,"MUJER","1611959,32","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",47
214,"MUJER","1307797,87","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
215,"HOMBRE","366599","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",53
216,"HOMBRE","462831","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",32
217,"HOMBRE","639148","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",41
218,"HOMBRE","310124","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",34
219,"MUJER","800000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
220,"MUJER","1520118","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",32
221,"MUJER","460000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
222,"MUJER","446964","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",64
223,"MUJER","241000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",35
224,"HOMBRE","1254322,13","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
225,"HOMBRE","503396","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",55
226,"HOMBRE","1845300","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
227,"HOMBRE","505464","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",42
228,"MUJER","1083593,7","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",30
229,"MUJER","450680","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",28
230,"HOMBRE","407031","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",51
231,"HOMBRE","800000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",54
232,"HOMBRE","366302,13","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",52
233,"MUJER","801100,65","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",46
234,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",37
235,"MUJER","300018","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",56
236,"MUJER","1002472,71","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",51
237,"HOMBRE","904595,72","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",39
238,"MUJER","354854","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
239,"MUJER","448927,5","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
240,"MUJER","762579","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",26
241,"HOMBRE","500000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",61
242,"HOMBRE","606345,6","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",21
243,"MUJER","411069","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",56
244,"HOMBRE","636770","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
245,"HOMBRE","299647","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",42
246,"HOMBRE","435182,43","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",24
247,"MUJER","2891000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
248,"HOMBRE","409154","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",36
249,"MUJER","556132","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",51
250,"MUJER","173710","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",20
251,"MUJER","601898,22","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",21
252,"HOMBRE","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",26
253,"HOMBRE","455087,65","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",58
254,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","SI",50
255,"MUJER","1198261,6","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",43
256,"MUJER","430147,81","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",50
257,"MUJER","500000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",23
258,"MUJER","1819625,78","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
259,"MUJER","355312","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",56
260,"HOMBRE","262016","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",40
261,"HOMBRE","507212,75","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",62
262,"HOMBRE","319590","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
263,"HOMBRE","331181","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",62
264,"HOMBRE","509509","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",42
265,"MUJER","820120","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
266,"MUJER","439400","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",34
267,"HOMBRE","2184000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",41
268,"MUJER","110000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",28
269,"HOMBRE","180000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
270,"MUJER","350000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",29
271,"HOMBRE","281250","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",58
272,"MUJER","829364,58","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
273,"MUJER","403983","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",41
274,"MUJER","545646","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",44
275,"HOMBRE","417064","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",59
276,"HOMBRE","621333,79","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",47
277,"HOMBRE","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",24
278,"MUJER","527824,5","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",68
279,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",43
280,"MUJER","300000","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","NO",57
281,"MUJER","453393,84","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
282,"MUJER","297062","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",40
283,"MUJER","245436,97","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
284,"HOMBRE","2005101","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
285,"MUJER","342332","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",61
286,"HOMBRE","1000000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",52
287,"HOMBRE","347514,23","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
288,"MUJER","750000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",28
